file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00680_0163_1145930_to_1148148,རང་ཉིད་འབའ་ཞིག་གི་བསམ་པས་ཀུན་ནས་བསླངས་ཏེ།  ,rang nyid 'ba' zhig gi bsam pas kun nas bslangs te/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00680_0163_1145930_to_1148148.wav,STT_TT,3,43,2.218,wav16k/STT_TT00680_0163_1145930_to_1148148.wav,རང་ཉིད་འབའ་ཞིག་གི་བསམ་པས་ཀུན་ནས་བསླངས་ཏེ།
STT_TT00680_0167_1167636_to_1170571,ད་བག་ལེབ་འདྲ་བོ་དེ་ཚོ། བཟོ་ལྟ་ཡག་སྡུག་ཡོང་ཆོག་རེད།  ,da bag leb 'dra bo de tsho/_bzo lta yag sdug yong chog red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00680_0167_1167636_to_1170571.wav,STT_TT,3,52,2.935,wav16k/STT_TT00680_0167_1167636_to_1170571.wav,ད་བག་ལེབ་འདྲ་བོ་དེ་ཚོ། བཟོ་ལྟ་ཡག་སྡོག་ཡོང་ཆོག་རེད།
STT_TT00680_0181_1245127_to_1247363,གཅེས་འཛིན་གི་སྐྱོན་དེ། ངོ་འཕྲོད་དགོས་རེད། ད།  ,gces 'dzin gi skyon de/_ngo 'phrod dgos red/_da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00680_0181_1245127_to_1247363.wav,STT_TT,3,46,2.236,wav16k/STT_TT00680_0181_1245127_to_1247363.wav,གཅེས་འཛིན་གི་སྐྱོན་དེ་ངོ་འཕྲོད་དགོས་རེད་ད།
STT_TT00680_0185_1280247_to_1283284,ཟེར། ད་སྡུག་བསྔལ་གཅིག་པོ་མ་རེད། སྤྱིར་བཏང་གི་སྐྱོན་མང་པོ།  ,zer/_da sdug bsngal gcig po ma red/_spyir btang gi skyon mang po/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00680_0185_1280247_to_1283284.wav,STT_TT,3,59,3.037,wav16k/STT_TT00680_0185_1280247_to_1283284.wav,ཟེ། ད་སྡུག་བསྔལ་གཅིག་པོ་མ་རེད། སྤྱིར་བཏང་གི་སྐྱོན་མང་པོ།
STT_NS_M0292_0213_1816023_to_1821476,དེ་ཉན། ཨེ་ནས་ཅིག་དཀའ་ངལ་སྡུག་བསྔལ་རྐྱང་རྐྱང་གིས་མི་ཚེ་རྫོགས་འགྲོ་ཡི་འདུག་ག ཨོ་དེ་ཚོ་ཡིན་ན་ཕམ་པོ་རེད་བ།  ,de nyan/_e nas cig dka' ngal sdug bsngal rkyang rkyang gis mi tshe rdzogs 'gro yi 'dug ga_o de tsho yin na pham po red ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0292_0213_1816023_to_1821476.wav,STT_NS,3,104,5.453,wav16k/STT_NS_M0292_0213_1816023_to_1821476.wav,དེ་ཉས། ཨེ་ནས་ཅིག་དཀའ་ངལ་དང་སྡུག་ྔལས་རྐྱང་རྐྱང་གི་ངཚེ་ཙོག་འདྲ་བོ་འདུག་བ། ཨོ་དེ་ཚོ་ཡིན་ན་ཁམ་པོ་རེད་བ།
STT_TT00680_0150_1074001_to_1076646,ད་དེ་གས་དེ་གཡུགས་ཤོག ད་བཞག་ཤོག ད་ང་བྱེད་སྙིང་འདོད་ཀི་མི་འདུག་ཟེ།  ,da de gas de g.yugs shog_da bzhag shog_da nga byed snying 'dod ki mi 'dug ze/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00680_0150_1074001_to_1076646.wav,STT_TT,3,66,2.645,wav16k/STT_TT00680_0150_1074001_to_1076646.wav,ད་དེ་གས་དེ་གཡུག་ཤོག ད་བཞག་ཤོག ད་ང་བྱེད་སྙིང་འདོད་ཀི་མི་འདུག་ཟེ།
STT_AB00209_0058_210145_to_216663,ལུས་སེམས་ཀྱི་ངོ་བོ་གོང་འཕེལ་དུ་བཏང་སྟེ་གནས་ཚད་མཐོར་འདེགས་བྱས་ན་འོད་ཟེར་དེ་དག་རང་བཞིན་གྱིས་བྱུང་བར་ངེས་སོ།  ,lus sems kyi ngo bo gong 'phel du btang ste gnas tshad mthor 'degs byas na 'od zer de dag rang bzhin gyis byung bar nges so/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00209_0058_210145_to_216663.wav,STT_AB,3,107,6.518,wav16k/STT_AB00209_0058_210145_to_216663.wav,ལུས་སེམས་ཀྱི་ངོ་བོ་གོང་འཕེལ་དུ་བཏང་སྟེ་གནས་ཚད་འཐོར་འདིགས་བྱས་ན་འོད་ཟེར་དེ་དག་རང་བཞིན་གྱིས་བྱུང་བར་ཉེས་སོ།
STT_TT00680_0159_1117039_to_1123182,ཨེ་ནས། ཨ། ཡོན་ཆབ་ཕུལ་བ་ལ་སོགས་པ། དེ་འདྲའི་བྱས་ན། རང་ཉིད་འབའ་ཞིག་གི་བསམ་པ་དེ། སྐྱེ་ཡོང་དུས། རང་གཅེས་འཛིན།  ,e nas/_a/_yon chab phul ba la sogs pa/_de 'dra'i byas na/_rang nyid 'ba' zhig gi bsam pa de/_skye yong dus/_rang gces 'dzin/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00680_0159_1117039_to_1123182.wav,STT_TT,3,106,6.143,wav16k/STT_TT00680_0159_1117039_to_1123182.wav,ཨེ་ནས། ཨ། ཡོན་ཆབ་ཕུལ་བ་ལ་སོགས་པ་དེ་འདྲའི་བྱས་ན། རང་ཉིད་འབའ་ཞིག་གི་བསམ་པ་དེ་སྐྱེ་ཡོང་དུས། རང་གཅེས་འཛིན།
STT_MV0492_0169_1904095_to_1905220,དེ་སྔོན།  ,de sngon/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0492_0169_1904095_to_1905220.wav,STT_MV,3,10,1.125,wav16k/STT_MV0492_0169_1904095_to_1905220.wav,དེ་སྔོན།
STT_TT00680_0164_1148404_to_1152704,ཁ་ལག་ཟ་འདོད། ཞོགས་ཇ་ཟ་འདོད་ཀི་བསམ་བློ་འཁོར་བ་དང་། དེ་ནས་ཆུ་ཚོད་གཅིག་དེ་འདྲའི་བྱེད་ཡ།  ,kha lag za 'dod/_zhogs ja za 'dod ki bsam blo 'khor ba dang /_de nas chu tshod gcig de 'dra'i byed ya/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00680_0164_1148404_to_1152704.wav,STT_TT,3,86,4.3,wav16k/STT_TT00680_0164_1148404_to_1152704.wav,ཁ་ལག་ཟ་འདོད། ཞོགས་ཇ་ཟ་འདོད་ཀི་བསམ་བློ་འཁོར་བ་དང་། དེ་ནས་ཆ་ཚ་ཅིག་དེ་འདྲའི་བྱེད་ཡ།
